Mom_ID,Year,Pop,n_Seeds,h_Pollen_Pool,Bootstrap_SE,Outcrossing,Outcrossing_SE,Biparental_Inbreeding,Biparental_Inbreeding_SE,Area_ha,Percent_Forest,Elevation,Proportion_High_Mobility,SE_High_Mobility
28E_2016,2016,28,10,0.465212687,0.036199751,0.87,0.42,0.12,0.058,0.64,34.47,1369.99,,
29A_2013,2013,29,11,0.455293929,0.032388039,1,0.575,0.594,0.284,7.44,44.95,1351.59,,
29A_2016,2016,29,5,0.558783298,0.103272249,1,0.577,0,0.107,7.44,44.95,1351.59,,
29B_2016,2016,29,11,0.525627302,0.036988443,0.842,0.405,-0.057,0.028,7.44,44.95,1351.59,,
29C_2013,2013,29,10,0.501685217,0.028804864,0.912,0.437,0.1,0.05,7.44,44.95,1351.59,,
29C_2016,2016,29,11,0.433979881,0.043232523,0.918,0.444,0.223,0.108,7.44,44.95,1351.59,,
29D_2013,2013,29,6,0.525149454,0.058483768,0.857,0.407,0.019,0.013,7.44,44.95,1351.59,,
29D_2016,2016,29,10,0.475876108,0.033805478,1,0.583,0.438,0.213,7.44,44.95,1351.59,,
29E_2013,2013,29,7,0.455994898,0.050249287,0.881,0.424,0.112,0.057,7.44,44.95,1351.59,,
29E_2016,2016,29,10,0.491596866,0.043437045,0.525,0.254,0,0.008,7.44,44.95,1351.59,,
31A_2016,2016,31,13,0.521742816,0.028851592,1,0.579,0.299,0.144,5.67,59.06,1408.03,,
31B_2016,2016,31,11,0.526933948,0.032145192,0.935,0.451,0.236,0.114,5.67,59.06,1408.03,,
31D_2016,2016,31,14,0.568624322,0.03143178,0.797,0.39,0.002,0.007,5.67,59.06,1408.03,,
31E_2016,2016,31,13,0.497365206,0.029524064,0.748,0.361,0.134,0.065,5.67,59.06,1408.03,,
32A_2016,2016,32,12,0.483712531,0.03304559,0.927,0.45,0.085,0.042,882.94,48.21,1446.21,0.710526316,0.073570351
32B_2016,2016,32,12,0.562019177,0.03553056,1,0.575,0.096,0.141,882.94,48.21,1446.21,0.710526316,0.073570351
32C_2013,2013,32,10,0.554315896,0.026499321,0.91,0.441,0.166,0.082,882.94,48.21,1446.21,0.710526316,0.073570351
32C_2016,2016,32,12,0.582633994,0.029736078,1,0.576,0.016,0.105,882.94,48.21,1446.21,0.710526316,0.073570351
32D_2013,2013,32,10,0.571672515,0.029679113,0.909,0.445,0.418,0.204,882.94,48.21,1446.21,0.710526316,0.073570351
32D_2016,2016,32,10,0.587907423,0.033143567,1,0.575,0.109,0.148,882.94,48.21,1446.21,0.710526316,0.073570351
32E_2013,2013,32,11,0.547862523,0.02290644,0.917,0.438,0.257,0.123,882.94,48.21,1446.21,0.710526316,0.073570351
32E_2016,2016,32,14,0.529887543,0.021121905,0.971,0.472,0,0.008,882.94,48.21,1446.21,0.710526316,0.073570351
33B_2013,2013,33,10,0.59149164,0.031371573,0.909,0.434,0.308,0.144,364.62,65.89,1186.18,0.666666667,0.090721842
33D_2013,2013,33,6,0.352375799,0.031992956,1,0.585,0.29,0.237,364.62,65.89,1186.18,0.666666667,0.090721842
35A_2013,2013,35,10,0.531346901,0.0415784,0.909,0.439,0.191,0.092,246.47,52.48,1373.92,0.6875,0.115878101
35B_2013,2013,35,10,0.552732131,0.037118139,0.909,0.433,0.077,0.04,246.47,52.48,1373.92,0.6875,0.115878101
35C_2013,2013,35,10,0.591616134,0.033517348,1,0.564,0.03,0.108,246.47,52.48,1373.92,0.6875,0.115878101
35C_2016,2016,35,10,0.620608914,0.040027292,0.652,0.312,0.012,0.007,246.47,52.48,1373.92,0.6875,0.115878101
35D_2013,2013,35,10,0.57599958,0.039909214,1,0.576,0,0.029,246.47,52.48,1373.92,0.6875,0.115878101
35D_2016,2016,35,19,0.602633199,0.018647654,0.833,0.402,0.048,0.023,246.47,52.48,1373.92,0.6875,0.115878101
35E_2013,2013,35,10,0.487127476,0.020661404,1,0.58,0.127,0.155,246.47,52.48,1373.92,0.6875,0.115878101
36A_2013,2013,36,10,0.492476639,0.029626147,1,0.58,0.106,0.148,74.53,31.6,1153.3,,
36A_2016,2016,36,5,0.448014842,0.064047199,1,0.58,0.166,0.179,74.53,31.6,1153.3,,
36B_2013,2013,36,5,0.526213152,0.066007714,1,0.577,0.004,0.109,74.53,31.6,1153.3,,
